Timestamp,Market Cap (USD),Coin
2024-04-01 00:00:00,1401370211582.3662,Bitcoin (BTC)
2024-04-02 00:00:00,1373784286061.3486,Bitcoin (BTC)
2024-04-03 00:00:00,1288360536576.547,Bitcoin (BTC)
2024-04-04 00:00:00,1301670235623.7266,Bitcoin (BTC)
2024-04-05 00:00:00,1348455954443.3696,Bitcoin (BTC)
2024-04-06 00:00:00,1337452583876.3916,Bitcoin (BTC)
2024-04-07 00:00:00,1358548956714.7139,Bitcoin (BTC)
2024-04-08 00:00:00,1367272232852.0764,Bitcoin (BTC)
2024-04-09 00:00:00,1410324678268.6392,Bitcoin (BTC)
2024-04-10 00:00:00,1361830648708.6648,Bitcoin (BTC)
2024-04-11 00:00:00,1387722485989.3584,Bitcoin (BTC)
2024-04-12 00:00:00,1379324055321.196,Bitcoin (BTC)
2024-04-13 00:00:00,1321648247460.1611,Bitcoin (BTC)
2024-04-14 00:00:00,1270009515097.3306,Bitcoin (BTC)
2024-04-15 00:00:00,1293286386553.3967,Bitcoin (BTC)
2024-04-16 00:00:00,1247928896840.997,Bitcoin (BTC)
2024-04-17 00:00:00,1253670904297.4917,Bitcoin (BTC)
2024-04-18 00:00:00,1207185042484.4346,Bitcoin (BTC)
2024-04-19 00:00:00,1249565911947.3347,Bitcoin (BTC)
2024-04-20 00:00:00,1263308149913.607,Bitcoin (BTC)
2024-04-21 00:00:00,1277940837359.7852,Bitcoin (BTC)
2024-04-22 00:00:00,1279763566407.3762,Bitcoin (BTC)
2024-04-23 00:00:00,1317058642854.2856,Bitcoin (BTC)
2024-04-24 00:00:00,1306843409278.049,Bitcoin (BTC)
2024-04-25 00:00:00,1265541377860.928,Bitcoin (BTC)
2024-04-26 00:00:00,1269387456067.624,Bitcoin (BTC)
2024-04-27 00:00:00,1255539337969.4697,Bitcoin (BTC)
2024-04-28 00:00:00,1249495302303.4912,Bitcoin (BTC)
2024-04-29 00:00:00,1240724751365.882,Bitcoin (BTC)
2024-04-30 00:00:00,1257159131219.0603,Bitcoin (BTC)
2024-05-01 00:00:00,1197773959985.8767,Bitcoin (BTC)
2024-05-02 00:00:00,1151677489315.1536,Bitcoin (BTC)
2024-05-03 00:00:00,1164721402399.166,Bitcoin (BTC)
2024-05-04 00:00:00,1239817041554.716,Bitcoin (BTC)
2024-05-05 00:00:00,1257549583083.3145,Bitcoin (BTC)
2024-05-06 00:00:00,1259667234461.2874,Bitcoin (BTC)
2024-05-07 00:00:00,1244417948315.7583,Bitcoin (BTC)
2024-05-08 00:00:00,1229336706399.346,Bitcoin (BTC)
2024-05-09 00:00:00,1203918522476.5405,Bitcoin (BTC)
2024-05-10 00:00:00,1240910691253.6274,Bitcoin (BTC)
2024-05-11 00:00:00,1199393711200.297,Bitcoin (BTC)
2024-05-12 00:00:00,1197102943502.2341,Bitcoin (BTC)
2024-05-13 00:00:00,1211277523448.5786,Bitcoin (BTC)
2024-05-14 00:00:00,1238994152713.125,Bitcoin (BTC)
2024-05-15 00:00:00,1212998352772.157,Bitcoin (BTC)
2024-05-16 00:00:00,1307048849176.4167,Bitcoin (BTC)
2024-05-17 00:00:00,1286278919684.0837,Bitcoin (BTC)
2024-05-18 00:00:00,1319238394090.13,Bitcoin (BTC)
2024-05-19 00:00:00,1319928522881.6436,Bitcoin (BTC)
2024-05-20 00:00:00,1304727108597.6987,Bitcoin (BTC)
2024-05-21 00:00:00,1406288649446.611,Bitcoin (BTC)
2024-05-22 00:00:00,1382275470797.567,Bitcoin (BTC)
2024-05-23 00:00:00,1362228629448.754,Bitcoin (BTC)
2024-05-24 00:00:00,1336347300306.381,Bitcoin (BTC)
2024-05-25 00:00:00,1350764328536.3708,Bitcoin (BTC)
2024-05-26 00:00:00,1363997851294.8164,Bitcoin (BTC)
2024-05-27 00:00:00,1349351520129.172,Bitcoin (BTC)
2024-05-28 00:00:00,1366931305389.0393,Bitcoin (BTC)
2024-05-29 00:00:00,1347542673428.3018,Bitcoin (BTC)
2024-05-30 00:00:00,1331734029835.3335,Bitcoin (BTC)
2024-05-31 00:00:00,1346147846430.124,Bitcoin (BTC)
2024-06-01 00:00:00,1331606411822.8157,Bitcoin (BTC)
2024-06-02 00:00:00,1333649555935.3525,Bitcoin (BTC)
2024-06-03 00:00:00,1335930570689.7126,Bitcoin (BTC)
2024-06-04 00:00:00,1355484820107.0864,Bitcoin (BTC)
2024-06-05 00:00:00,1390853496950.4385,Bitcoin (BTC)
2024-06-06 00:00:00,1400297735227.1965,Bitcoin (BTC)
2024-06-07 00:00:00,1394881646977.521,Bitcoin (BTC)
2024-06-08 00:00:00,1366366925856.506,Bitcoin (BTC)
2024-06-09 00:00:00,1366065699664.3162,Bitcoin (BTC)
2024-06-10 00:00:00,1372556186704.501,Bitcoin (BTC)
2024-06-11 00:00:00,1369378888543.5317,Bitcoin (BTC)
2024-06-12 00:00:00,1327665028180.2761,Bitcoin (BTC)
2024-06-13 00:00:00,1345244310606.6865,Bitcoin (BTC)
2024-06-14 00:00:00,1317161415434.6978,Bitcoin (BTC)
2024-06-15 00:00:00,1301949410096.3496,Bitcoin (BTC)
2024-06-16 00:00:00,1304370314917.9756,Bitcoin (BTC)
2024-06-17 00:00:00,1313849391756.9756,Bitcoin (BTC)
2024-06-18 00:00:00,1309329377372.7744,Bitcoin (BTC)
2024-06-19 00:00:00,1282295865979.065,Bitcoin (BTC)
2024-06-20 00:00:00,1278699763341.0723,Bitcoin (BTC)
2024-06-21 00:00:00,1279317116821.3782,Bitcoin (BTC)
2024-06-22 00:00:00,1263258746635.2896,Bitcoin (BTC)
2024-06-23 00:00:00,1266336092890.8738,Bitcoin (BTC)
2024-06-24 00:00:00,1248188877658.2324,Bitcoin (BTC)
2024-06-25 00:00:00,1188964670369.4045,Bitcoin (BTC)
2024-06-26 00:00:00,1217935012739.8113,Bitcoin (BTC)
2024-06-27 00:00:00,1198205485427.564,Bitcoin (BTC)
2024-06-28 00:00:00,1213931985719.8025,Bitcoin (BTC)
2024-06-29 00:00:00,1189569860170.9426,Bitcoin (BTC)
2024-06-30 00:00:00,1199792912680.844,Bitcoin (BTC)
2024-07-01 00:00:00,1236676710888.4822,Bitcoin (BTC)
2024-07-02 00:00:00,1238799172479.871,Bitcoin (BTC)
2024-07-03 00:00:00,1222901857941.0586,Bitcoin (BTC)
2024-07-04 00:00:00,1186937170314.9272,Bitcoin (BTC)
2024-07-05 00:00:00,1130121668991.0515,Bitcoin (BTC)
2024-07-06 00:00:00,1118490666778.4585,Bitcoin (BTC)
2024-07-07 00:00:00,1147176330416.144,Bitcoin (BTC)
2024-07-08 00:00:00,1100452083927.7026,Bitcoin (BTC)
2024-07-09 00:00:00,1117615464651.686,Bitcoin (BTC)
2024-07-10 00:00:00,1144794688186.9604,Bitcoin (BTC)
2024-07-11 00:00:00,1139350681822.5857,Bitcoin (BTC)
2024-07-12 00:00:00,1130276546536.143,Bitcoin (BTC)
2024-07-13 00:00:00,1141567375406.1943,Bitcoin (BTC)
2024-07-14 00:00:00,1168371787725.7102,Bitcoin (BTC)
2024-07-15 00:00:00,1204059167828.704,Bitcoin (BTC)
2024-07-16 00:00:00,1277806993830.5176,Bitcoin (BTC)
2024-07-17 00:00:00,1284899538175.1812,Bitcoin (BTC)
2024-07-18 00:00:00,1266016458007.3477,Bitcoin (BTC)
2024-07-19 00:00:00,1261456293182.2588,Bitcoin (BTC)
2024-07-20 00:00:00,1316147398343.7175,Bitcoin (BTC)
2024-07-21 00:00:00,1325658979467.9998,Bitcoin (BTC)
2024-07-22 00:00:00,1343346742483.077,Bitcoin (BTC)
2024-07-23 00:00:00,1333201881091.7786,Bitcoin (BTC)
2024-07-24 00:00:00,1300963591115.5374,Bitcoin (BTC)
2024-07-25 00:00:00,1290447066028.3152,Bitcoin (BTC)
2024-07-26 00:00:00,1297125144853.139,Bitcoin (BTC)
2024-07-27 00:00:00,1339927966898.6016,Bitcoin (BTC)
2024-07-28 00:00:00,1342889431798.832,Bitcoin (BTC)
2024-07-29 00:00:00,1346263382369.5552,Bitcoin (BTC)
2024-07-30 00:00:00,1317581413497.2551,Bitcoin (BTC)
2024-07-31 00:00:00,1306758338817.987,Bitcoin (BTC)
2024-08-01 00:00:00,1275401473742.0508,Bitcoin (BTC)
2024-08-02 00:00:00,1289157073527.528,Bitcoin (BTC)
2024-08-03 00:00:00,1211854070245.47,Bitcoin (BTC)
2024-08-04 00:00:00,1197962170718.7737,Bitcoin (BTC)
2024-08-05 00:00:00,1147854905921.6433,Bitcoin (BTC)
2024-08-06 00:00:00,1064889039013.8289,Bitcoin (BTC)
2024-08-07 00:00:00,1104019419316.6865,Bitcoin (BTC)
2024-08-08 00:00:00,1088566703585.4303,Bitcoin (BTC)
2024-08-09 00:00:00,1218342891278.6091,Bitcoin (BTC)
2024-08-10 00:00:00,1198300504959.2505,Bitcoin (BTC)
2024-08-11 00:00:00,1201818989571.278,Bitcoin (BTC)
2024-08-12 00:00:00,1159146815397.6223,Bitcoin (BTC)
2024-08-13 00:00:00,1171441797233.8909,Bitcoin (BTC)
2024-08-14 00:00:00,1195798013190.8457,Bitcoin (BTC)
2024-08-15 00:00:00,1159479277227.7532,Bitcoin (BTC)
2024-08-16 00:00:00,1137141836825.8655,Bitcoin (BTC)
2024-08-17 00:00:00,1162716063850.1133,Bitcoin (BTC)
